name,url,chemistry,chemistry html,IMA Symbol,Strunz class,crystal system,crystal class,color,cleavage,mohs,streak,gravity,luster,habit,varieties
Kröhnkite,https://en.wikipedia.org/wiki/Kr%C3%B6hnkite,Na2Cu(SO4)2•2H2O,Na<sub>2</sub>Cu(SO<sub>4</sub>)<sub>2</sub>•2H<sub>2</sub>O,Khk,7.CC.30,Monoclinic,Prismatic,"Blue, dark sky blue, greenish blue, yellowish green","Perfect {010}, good (011), very imperfect {101}",2.5 – 3.0,White,2.92,Vitreous,"Encrustations (on matrix), fibrous, massive",
Krotite,https://en.wikipedia.org/wiki/Krotite,CaAl2O4,CaAl<sub>2</sub>O<sub>4</sub>,Kro,,Monoclinic,Prismatic,Colorless,,6.5,White,2.94,Vitreous,,
Krut'aite,https://en.wikipedia.org/wiki/Krut%27aite,CuSe2,CuSe<sub>2</sub>,Krt,2.EB.05a,Cubic,Diploidal,Grey,Good,4,Dark grey,6.53 (calculated),Metallic,Often found as inclusions or octahedral crystals.,
Krutovite,https://en.wikipedia.org/wiki/Krutovite,NiAs2,NiAs<sub>2</sub>,Kru,2.EB.25,Cubic,Tetartoidal,"grayish white, bright white with a rose tint in polished section",not observed,5.5,,7.08–7.12 calculated,metallic,"Granular, intergrown with other sulfides",
Kukharenkoite-(Ce),https://en.wikipedia.org/wiki/Kukharenkoite-(Ce),Ba2CeF(CO3)3,Ba<sub>2</sub>CeF(CO<sub>3</sub>)<sub>3</sub>,Kkk-Ce,5.BD.10,Monoclinic,Prismatic,,,,,,,,
Kuratite,https://en.wikipedia.org/wiki/Kuratite,Ca2(Fe2+5Ti)O2[Si4Al2O18],Ca<sub>2</sub>(Fe<sup>2+</sup><sub>5</sub>Ti)O<sub>2</sub>[Si<sub>4</sub>Al<sub>2</sub>O<sub>18</sub>],Kur,,Triclinic,Pinacoidal,,,,,,,,
Kurnakovite,https://en.wikipedia.org/wiki/Kurnakovite,MgB3O3(OH)5·5H2O,MgB<sub>3</sub>O<sub>3</sub>(OH)<sub>5</sub>·5H<sub>2</sub>O,Kko,6.CA.20,Triclinic,Pinacoidal,White; colorless in transmitted light,Poor to indistinct on {010},2.5 - 3,White,1.847 - 1.852,Vitreous,Aggregates of prismatic crystals,
Kutnohorite,https://en.wikipedia.org/wiki/Kutnohorite,CaMn2+(CO3)2,CaMn<sup>2+</sup>(CO<sub>2</sub>,Kut,5.AB.10,Trigonal,Rhombohedral,"White, pale pink or light brown",Perfect on {1011},3.5–4,White to pale pink,3.12,Vitreous to dull,Aggregates of bundled bladed crystals,
Kyanite,https://en.wikipedia.org/wiki/Kyanite,Al2SiO5,Al<sub>5</sub>,Ky,9.AF.15,Triclinic,Pinacoidal,"Blue, white, rarely green, light gray to gray, rarely yellow, pink, orange, and black, can be zoned",[100] perfect [010] imperfect with 79° angle between,4.5 - 7 ,White,3.53 - 3.65 measured; 3.67 calculated,Vitreous to white,Columnar; fibrous; bladed,
Labradorite,https://en.wikipedia.org/wiki/Labradorite,"(Ca,Na)(Al,Si)4O8, where Ca/(Ca + Na) (% anorthite) is 50–70%","(Ca,Na)(Al,Si)<sub>4</sub>O<sub>8</sub>,whereCa/(Ca+Na)(%anorthite)is50–70%",,,Triclinic,Pinacoidal,"Gray, gray-white, brown, greenish, pale green, blue, yellow, colorless","Perfect on {001}, less perfect on {010}, intersecting at near 90°; distinct on {110}",6–6.5,White,2.68 to 2.72,Vitreous to pearly on cleavages,"Crystals typically thin and tabular, rhombic in cross section, striated; massive",
Lanarkite,https://en.wikipedia.org/wiki/Lanarkite,Pb2(SO4)O,Pb<sub>2</sub>(SO<sub>4</sub>)O,Lan,7.BD.40,Monoclinic,Prismatic,,,,,,,,
Langbeinite,https://en.wikipedia.org/wiki/Langbeinite,K2Mg2(SO4)3,K<sub>2</sub>Mg<sub>2</sub>(SO<sub>4</sub>)<sub>3</sub>,Lbn,7.AC.10,Cubic,Tetartoidal,"Colorless with pale shades of yellow, pink, red, green, gray",,3.5 - 4,,2.83,Vitreous,"As nodules, disseminated grains, bedded massive",
Langite,https://en.wikipedia.org/wiki/Langite,Cu4(SO4)(OH)6·2H2O,Cu<sub>4</sub>(SO<sub>4</sub>)(OH)<sub>6</sub>·2H<sub>2</sub>O,Lgt,7.DD.10,Monoclinic,Domatic,"Greenish blue, sky-blue to bluish green","{001} perfect, {010} distinct",2.5  to 3,Blue green,3.28 3.48 to 3.5 3.5 2.28 to 3.34,"Vitreous, crusts silky","Crystals scaly, or as crusts; earthy",
Lansfordite,https://en.wikipedia.org/wiki/Lansfordite,MgCO3·5H2O,MgCO<sub>3</sub>·5H<sub>2</sub>O,Lfd,5.D.01-30,Monoclinic,,,"Perfect, Distinct",2.5,White,1.6,Vitreous (if fresh),"Crystals, stalactites terminated by crystal faces, efflorescences, parallel growths.",
Lanthanite,https://en.wikipedia.org/wiki/Lanthanite,(REE)2(CO3)3·8(H2O),(<i>REE</i>)<sub>2</sub>(CO<sub>3</sub>)<sub>3</sub>·8(H<sub>2</sub>O),Ltn,5.CC.25,Orthorhombic,Dipyramidal,Pale pink to purple,"Micaceous, perfect on {101}",2.5,White,,Vitreous to pearly,Platy,
Laplandite-(Ce),https://en.wikipedia.org/wiki/Laplandite-(Ce),Na4CeTiPO4Si7O18•5H2O,Na<sub>4</sub>CeTiPO<sub>4</sub>Si<sub>7</sub>O<sub>18</sub>•5H<sub>2</sub>O,Lpl-Ce,9.DJ.10,Orthorhombic,Dipyramidal,"gray-white, pale yellow, pale blue",none,2-3,white,2.71,vitreous,"radial, prismatic",
Larnite,https://en.wikipedia.org/wiki/Larnite,Ca2SiO4,Ca<sub>4</sub>,Lrn,9.AD.05,Monoclinic,Prismatic,White to gray,"Good on {100}, imperfect on {010}",6,White,3.28–3.33,Vitreous,Flattened anhedral grains; massive,
Laumontite,https://en.wikipedia.org/wiki/Laumontite,,,Lmt,9.GB.10,Monoclinic,Prismatic,"White, colorless, yellowish, brownish","Perfect, two directions",4,,,,,
Laurionite,https://en.wikipedia.org/wiki/Laurionite,PbCl(OH),PbCl(OH),Lri,3.DC.05,Orthorhombic,Dipyramidal,"Colorless, white",Distinct on {101},3 - 3.5,White,6241,"Adamantine, pearly",Elongated tabular prismatic crystals,
Laurite,https://en.wikipedia.org/wiki/Laurite,RuS2,RuS<sub>2</sub>,,2.EB.05a,Cubic,Diploidal,Iron-black; white to gray or bluish in polished section,Perfect on {111},7.5,Dark gray,6.43,Metallic,"As octahedral, cubic, and pyritohedral crystals or as rounded grains and inclusions",
Lautenthalite,https://en.wikipedia.org/wiki/Lautenthalite,PbCu4(SO4)2(OH)6 · 3H2O,PbCu<sub>4</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>·3H<sub>2</sub>O,Lth,7.DE.70,Monoclinic,Prismatic,"Blue green, green, greenish blue","Good on {001} and {010}, distinct",2.5,White,3.84,Vitreous,,
Lautite,https://en.wikipedia.org/wiki/Lautite,CuAsS,CuAsS,Ltt,2.CB.40,Orthorhombic,Pyramidal,,,,,,,,
Lavendulan,https://en.wikipedia.org/wiki/Lavendulan,"NaCaCu5(AsO4)4Cl.5H2O  Usually with some K, Co and Ni","NaCaCu<sub>5</sub>(AsO<sub>4</sub>)<sub>4</sub>Cl.5H<sub>2</sub>OUsuallywithsomeK,CoandNi",Lvd,8.DG.05,Monoclinic,Prismatic,Blue or greenish blue,"Good on {010}, distinct on {100} and {001}",2.5 to 3,Light blue,3.54 3.84,"Vitreous to waxy, satiny in aggregates","Thin botryoidal crusts of minute radiating fibers or thin rectangular, pseudo-orthorhombic plates",
Lawsonite,https://en.wikipedia.org/wiki/Lawsonite,CaAl2Si2O7(OH)2·H2O,CaAl<sub>2</sub>Si<sub>2</sub>O<sub>7</sub>(OH)<sub>2</sub>·H<sub>2</sub>O,Lws,9.BE.05,Orthorhombic,Dipyramidal,"Colorless, white, pale blue to grayish blue","Perfect on {100} and {010}, imperfect on {101}",7.5,White,= 3.05 - 3.12,"Vitreous, greasy","Commonly prismatic, tabular; also granular, massive",
Lazulite,https://en.wikipedia.org/wiki/Lazulite,"(Mg,Fe2+)Al2(PO4)2(OH)2","(Mg,Fe<sup>2+</sup>)Al<sub>2</sub>",Lzl,8.BB.40,Monoclinic,Prismatic,"Azure-blue, sky-blue, bluish white, yellow-green, blue-green, rarely green","Poor to good on {110}, indistinct on {101}",5.5 - 6.0,White,3.122 – 3.240,Vitreous,"Tabular, acute to stubby bipyramidal crystals; granular, massive",
Lazurite,https://en.wikipedia.org/wiki/Lazurite,"(Na,Ca)8[(S,Cl,SO4,OH)2|(Al6Si6O24)]","(Na,Ca)<sub>24</sub>)]",Lzr,9.FB.10,Isometric,Hextetrahedral,"Deep blue, azure, violet-blue, greenish blue",Imperfect on {110},5–5.5,,2.38–2.45,Vitreous,"Crystals occur as dodecahedra, or rarely cubes; granular, disseminated, or massive",
Lead,https://en.wikipedia.org/wiki/Lead,,,,,,,,,1.5 ,,,,,
Leadhillite,https://en.wikipedia.org/wiki/Leadhillite,Pb4SO4(CO3)2(OH)2,Pb<sub>4</sub>SO<sub>4</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>2</sub>,Lhl,5.BF.40,Monoclinic,Prismatic,,Perfect on {001},2.5 to 3,White,6.55,,"Usually pseudo-hexagonal, thin to thick tabular {001} with hexagonal outline",
Legrandite,https://en.wikipedia.org/wiki/Legrandite,Zn2(AsO4)(OH)·(H2O),Zn<sub>2</sub>(AsO<sub>4</sub>)(OH)·(H<sub>2</sub>O),Leg,8.DC.10,Monoclinic,Prismatic,"Bright yellow, wax-yellow, colorless","Imperfect, poor one {100}",4.5-5,White,3.98–4.01,Vitreous,"Crystalline, prismatic, typically in sprays or sheaflike aggregates",
Leifite,https://en.wikipedia.org/wiki/Leifite,Na2(Si; Al; Be)7(O; OH; F)14,Na<sub>14</sub>,Lf,9.EH.25,Trigonal,Hexagonal scalenohedral,,Distinct on {1010} ,6,White,2.6,,Typically radiating aggregates of fine needles,
Leightonite,https://en.wikipedia.org/wiki/Leightonite,K2Ca2Cu(SO4)4•2H2O,K<sub>2</sub>Ca<sub>2</sub>Cu(SO<sub>4</sub>)<sub>4</sub>•2H<sub>2</sub>O,Lgh,7.CC.70,Monoclinic,Prismatic,"Pale blue, greenish-blue; pale blue in transmitted light.",None observed,3,,2.95,Vitreous,"Lathlike crystals, flattened, elongated or equant; pseudo-orthorhombic",
Lepidocrocite,https://en.wikipedia.org/wiki/Lepidocrocite,γ-FeO(OH),γ-FeO(OH),Lpc,4.FE.15,Orthorhombic,Dipyramidal,Ruby-red to reddish brown; light reddish to red-orange in transmitted light; gray-white in reflected light,{010} Perfect,5,Dull orange,4,sub metallic,"Flattened scales aggregated into plumose groups and rosettes; massive, bladed to fibrous or micaceous",
Lepidolite,https://en.wikipedia.org/wiki/Lepidolite,"K(Li,Al)3(Al,Si,Rb)4O10(F,OH)2","K(Li,Al)<sub>2</sub>",Lpd,9.EC.20,Monoclinic,Prismatic,"Pink, light purple, purple, rose-red, violet-gray, yellowish, white, colorless other colors possible but are rare.",{001} perfect,2.5–3,White,2.8–2.9,Vitreous to pearly,"Tabular to prismatic pseudohexagonal crystals, scaly aggregates and massive",
Letovicite,https://en.wikipedia.org/wiki/Letovicite,(NH4)3H(SO4)2,(NH<sub>4</sub>)<sub>3</sub>H(SO<sub>4</sub>)<sub>2</sub>,Let,7.AD.20,Monoclinic,Prismatic,"Colorless, white",Distinct on {001},1-2,,1.83,,"Tiny pseudo-hexagonal plates, granular",
Leucite,https://en.wikipedia.org/wiki/Leucite,KAlSi2O6,KAlSi<sub>2</sub>O<sub>6</sub>,Lct,9.GB.05,Tetragonal,Dipyramidal,White to grey,Poor on {110},5.5 - 6,White,2.45-2.50,Vitreous,"Commonly as euhedral, pseudocubic crystals; rarely granular, massive",
Leucophanite,https://en.wikipedia.org/wiki/Leucophanite,"(Na,Ca)2BeSi2(O.OH.F)7","(Na,Ca)<sub>7</sub>",Lph,9.DH.05,Orthorhombic,Disphenoidal,,,,,,,,
Leucophoenicite,https://en.wikipedia.org/wiki/Leucophoenicite,Mn7(SiO4)3(OH)2,Mn<sub>7</sub>(SiO<sub>4</sub>)<sub>3</sub>(OH)<sub>2</sub>,Lpo,9.AF.60,Monoclinic,Prismatic,,Imperfect on {001},5.5 to 6,,,Vitreous,,
Lévyne,https://en.wikipedia.org/wiki/L%C3%A9vyne,,,Lév,9.GD.15,Trigonal,Hexagonal scalenohedral,,,,,,,,
Libethenite,https://en.wikipedia.org/wiki/Libethenite,Cu2PO4OH,Cu<sub>2</sub>PO<sub>4</sub>OH,Lib,8.BB.30,Orthorhombic,Dipyramidal,"Light to dark green, blackish green, olive-green",Indistinct on [100] and [010],4,light green,"3.6 - 4, Average = 3.8","Vitreous, greasy","Globular, druzy, slender prismatic",
Liebigite,https://en.wikipedia.org/wiki/Liebigite,Ca2(UO2)(CO3)3·11H2O,Ca<sub>2</sub>(UO<sub>2</sub>)(CO<sub>3</sub>)<sub>3</sub>·11H<sub>2</sub>O,Lbi,5.ED.20,Orthorhombic,Pyramidal,,Distinct on {100},2.5 - 3,,2.41,,"Rare as short prismatic crystals; scaly or granular, in aggregates, crusts, and films",
Linarite,https://en.wikipedia.org/wiki/Linarite,PbCu[(OH)2|SO4],PbCu[(OH)<sub>2</sub>|SO<sub>4</sub>],Lna,7.BC.65,Monoclinic,Prismatic,Deep azure blue,"Perfect on {100}, imperfect on {001}",2.5,Pale blue,5.3 - 5.5,"Sub-adamantine, vitreous",Crystals elongated and tabular; in crusts and aggregates,
Lindgrenite,https://en.wikipedia.org/wiki/Lindgrenite,Cu3(MoO4)2(OH)2,Cu<sub>3</sub>(MoO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>,Lgr,7.GB.05,Monoclinic,Prismatic,Green to yellowish green,"Perfect on {010} and {101}, poor on {100}",4.5,Pale green,4.2,Greasey,"Tabular to platey crystals, may be acicular, massive or crust forming",
Linnaeite,https://en.wikipedia.org/wiki/Linnaeite,Co+2Co+32S4,Co<sup>+2</sup>Co<sup>+3</sup><sub>2</sub>S<sub>4</sub>,Lin,2.DA.05,Cubic,Hexoctahedral,Steel gray to gray violet,Imperfect on {001},4.5-5.5,Grayish-black,4.8-5.8,Metallic,"As octahedral crystals; massive, granular",
Lipscombite,https://en.wikipedia.org/wiki/Lipscombite,"(Fe2+,Mn2+)(Fe3+)2(PO4)2(OH)2","(Fe<sup>2+</sup>,Mn<sup>2+</sup>)(Fe<sup>3+</sup>)<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>",Lcb,8.BB.90,Tetragonal,Trapezohedral,"Green gray, olive green, black.",,,,3.68,,,
Liroconite,https://en.wikipedia.org/wiki/Liroconite,Cu2Al[(OH)4|AsO4]·4(H2O),Cu<sub>2</sub>Al[(OH)<sub>4</sub>|AsO<sub>4</sub>]·4(H<sub>2</sub>O),Lro,8.DF.20,Monoclinic,Prismatic,Bright blue to green,Indistinct on {110} and {011},2-2.5,Light blue,2.9 - 3,Vitreous to resinous,"Typically as striated flattened octahedral or lenticular crystals, also massive to granular",
Litharge,https://en.wikipedia.org/wiki/Litharge,PbO,PbO,Lit,4.AC.20,Tetragonal,Ditetragonal dipyramidal,red,Distinct/Good. On {110},2,,,"greasy, dull",,
Lithiophilite,https://en.wikipedia.org/wiki/Lithiophilite,LiMnPO4,LiMnPO<sub>4</sub>,Lhp,8.AB.10,Orthorhombic,Dipyramidal,"Clove-brown, yellowish brown, honey-yellow, salmon-pink, blue-gray, gray","[100] perfect, [110] and [011] poor",4–5,White to grayish white,3.445–3.50,Vitreous to subresinous,"Prismatic – crystals shaped like slender prisms, stout prismatic, large single crystals, massive, oriented overgrowths",
Livingstonite,https://en.wikipedia.org/wiki/Livingstonite,HgSb4S8,HgSb<sub>4</sub>S<sub>8</sub>,Lst,2.HA.15,Monoclinic,Prismatic,"Blackish gray; in polished section, white; red in transmitted light, with deep red internal reflections","Perfect on {001}, poor on {010} and {100}",2,Red,4.8 - 4.88 meas. 4.98 calc.,Adamantine to metallic,"As needles elongated [010], to 12 cm; also fibrous, massive, columnar, and in globular masses and interlaced needles.",
Lizardite,https://en.wikipedia.org/wiki/Lizardite,Mg3(Si2O5)(OH)4,Mg<sub>4</sub>,Lz,,Trigonal,,"green, brown, light yellow to white",,2.5,white,2.55,"Resinous, Waxy, Greasy",,
Loellingite,https://en.wikipedia.org/wiki/Loellingite,FeAs2,FeAs<sub>2</sub>,Lö,2.EB.15a,Orthorhombic,Dipyramidal,Steel grey to silvery white,"Rare, distinct on {010}, {101}",5-5.5,Grayish black,7.1-7.5,Metallic,"Prismatic to pyramidal crystals, massive",
Lonsdaleite,https://en.wikipedia.org/wiki/Lonsdaleite,C,C,Lon,1.CB.10b,Hexagonal,Dihexagonal dipyramidal,"Gray in crystals, pale yellowish to brown in broken fragments",,7–8 ,,3.2,Adamantine,Cubes in fine-grained aggregates,
Loparite-(Ce),https://en.wikipedia.org/wiki/Loparite-(Ce),"(Ce,Na,Ca)(Ti,Nb)O3","(Ce,Na,Ca)(Ti,Nb)O<sub>3</sub>",Lop-Ce,4.CC.35,,,Black to grey-brown in thin section,[100] Imperfect,5.5 - 6.0,reddish brown,4.60-4.89,Metallic to sub-metallic,Cubic and octahedral crystals and massive,
Lópezite,https://en.wikipedia.org/wiki/L%C3%B3pezite,K2Cr2O7,K<sub>2</sub>Cr<sub>2</sub>O<sub>7</sub>,Lpz,7.FD.05,Triclinic,Pinacoidal,"Orange-red, red","Perfect[010] perfect, [100] distinct, [001] distinct",2.5,Light yellow,2.69,Vitreous,Granular or spherical in small crystals on the natural environment. Prismatic on lab grown crystals.,
Lorándite,https://en.wikipedia.org/wiki/Lor%C3%A1ndite,TlAsS2,TlAsS<sub>2</sub>,Lor,2.HD.05,Monoclinic,Prismatic,"Red to carmine-red, lead gray","[100] perfect, [001] distinct",2.0–2.5,Cherry-red,5.53,Sub-metallic – adamantine,Prismatic tabular striated parallel to [001],
Lorenzenite,https://en.wikipedia.org/wiki/Lorenzenite,Na2Ti2[O3|Si2O6],Na<sub>2</sub>Ti<sub>2</sub>[O<sub>3</sub>|Si<sub>2</sub>O<sub>6</sub>],Lrz,9.DB.10,Orthorhombic,Dipyramidal,"Pale purple-brown, pale pink to mauve, brown to black",Distinct/good on {010},6,White to pale brown,3.42 - 3.45,"Adamantine, vitreous, sub-metallic, dull","Equant, bladed, prismatic, to needlelike crystals; fibrous, felted, lamellar aggregates",
Loveringite,https://en.wikipedia.org/wiki/Loveringite,"(Ca,Ce)(Ti,Fe,Cr,Mg)21O38","(Ca,Ce)(Ti,Fe,Cr,Mg)<sub>38</sub>",Lvg,4.CC.40,Trigonal,Rhombohedral,Black,,7.5,Grayish black,4.41,Metallic,"Anhedral, can be acicular - occurs as needle-like crystals",
Ludlamite,https://en.wikipedia.org/wiki/Ludlamite,"(Fe,Mn,Mg)3(PO4)2·4H2O","(Fe,Mn,Mg)<sub>2</sub>·4H<sub>2</sub>O",Lud,8.CD.20,Monoclinic,Prismatic,Apple-green to bright green,"Cleavage: perfect on {001}, indistinct on {100}",3.5,Pale greenish white,3.12–3.19,"Vitreous, pearly on cleavage","Tabular crystals; massive, granular",
Ludwigite,https://en.wikipedia.org/wiki/Ludwigite,Mg2Fe3+BO5,Mg<sub>2</sub>Fe<sup>3+</sup>BO<sub>5</sub>,Ldw,6.AB.30,Orthorhombic,Dipyramidal,"Pitch-black, olive-black",[001] Perfect,5.5,greenish black,3.6 - 3.8,Silky to submetallic,Massive - fibrous commonly in fanlike to felted aggregates,
Lulzacite,https://en.wikipedia.org/wiki/Lulzacite,"Sr2Fe2+(Fe2+,Mg)2Al4(PO4)4(OH)10","Sr<sub>2</sub>Fe<sup>2+</sup>(Fe<sup>2+</sup>,Mg)<sub>2</sub>Al<sub>4</sub>(PO<sub>4</sub>)<sub>4</sub>(OH)<sub>10</sub>",Lul,8.BK.25,Triclinic,Pinacoidal,Grayish-green to yellowish-green,None,5.5–6,,3.55,Vitreous,Anhedral aggregates; rarely small euhedral crystals,
Lyonsite,https://en.wikipedia.org/wiki/Lyonsite,Cu3Fe+34(VO4)6,Cu<sub>3</sub>Fe<sup>+3</sup><sub>4</sub>(VO<sub>4</sub>)<sub>6</sub>,Lyo,8.AB.40,Orthorhombic,Dipyramidal,Black; creamy white in reflected light in polished section,Good on {001},,Dark gray,4.215 calculated,Metallic,As euhedral flattened lath shaped crystals,
Macaulayite,https://en.wikipedia.org/wiki/Macaulayite,"(Fe3+, Al)24Si4O43(OH)2","(Fe<sup>3+</sup>,Al)<sub>24</sub>Si<sub>4</sub>O<sub>43</sub>(OH)<sub>2</sub>",Mcy,9.EC.65,Monoclinic,Unknown space group,,,,light red,,,"Earthy – Dull, clay-like texture with no visible crystalline affinities",
Macdonaldite,https://en.wikipedia.org/wiki/Macdonaldite,BaCa4Si16O36(OH)2·10H2O,BaCa<sub>4</sub>Si<sub>16</sub>O<sub>36</sub>(OH)<sub>2</sub>·10H<sub>2</sub>O,Mcd,9.EB.05,Orthorhombic,Dipyramidal,"Colorless, white","{010} perfect, {001} good, {100} indistinct",3.5-4.0,White,2.27,Vitreous - silky,"Acicular also fibrous, in radiating aggregates; granular",
Mackinawite,https://en.wikipedia.org/wiki/Mackinawite,"(Fe,Ni)1+xS (where x=0 to 0.11)","(Fe,Ni)<span>1+x</sub></span>S",Mkw,2.CC.25,Tetragonal,Ditetragonal dipyramidal,Bronze to white grey,Perfect on {001},2.5,Black,4.17,Metallic,"As well-formed thin tabular crystals; massive, fine-feathery",
Madocite,https://en.wikipedia.org/wiki/Madocite,"Pb17(Sb,As)16S41",Pb<sub>41</sub>,Mdc,2.LB.30,Orthorhombic,Pyramidal,Grayish black,{010} Perfect,3.25,"Grayish black, shining",5.98,Metallic,Elongated and striated crystals; massive,
Magadiite,https://en.wikipedia.org/wiki/Magadiite,NaSi7O13(OH)3·4(H2O),NaSi<sub>7</sub>O<sub>13</sub>(OH)<sub>3</sub>·4(H<sub>2</sub>O),Mgd,9.EA.20,Monoclinic,Unknown space group,White,,2,White,2.25 calculated,Vitreous - dull,Minute platy crystals; spherulitic aggregates; powdery,
Maghemite,https://en.wikipedia.org/wiki/Maghemite,γ-Fe2O3,γ-Fe<sub>2</sub>O<sub>3</sub>,Mgh,4.BB.15,Cubic,Gyroidal,"Brown, bluish black; brown to yellow in transmitted light; white to bluish gray in reflected light.",None,5,Brown,4.860 (calculated),Dull,"Rarely as minute octahedral crystals, or acicular overgrowths; commonly as coatings on or replacements of magnetite; massive.",
Magnesioferrite,https://en.wikipedia.org/wiki/Magnesioferrite,Mg(Fe3+)2O4,Mg(Fe<sup>3+</sup>)<sub>2</sub>O<sub>4</sub>,Mfr,4.BB.05,Cubic,Hexoctahedral,Black to brownish black,On {111},6 - 6.5,Dark red,4.55 – 4.65 measured,"Metallic, semimetallic, dull","As octahedral crystals, massive granular",
Magnesiohastingsite,https://en.wikipedia.org/wiki/Magnesiohastingsite,NaCa2(Mg4Fe3+)(Si6Al2)O22(OH)2,NaCa<sub>2</sub>(Mg<sub>4</sub>Fe<sup>3+</sup>)(Si<sub>6</sub>Al<sub>2</sub>)O<sub>22</sub>(OH)<sub>2</sub>,,9.DE.15,Monoclinic,Prismatic,Green to dark green or black,"Good on {110} with intersections at about 56° and 124°.  Partings on {001}, {100}",5 to 6,Pale grey-green to pale brownish-green,3.16 to 3.22,Vitreous,,
Magnesiopascoite,https://en.wikipedia.org/wiki/Magnesiopascoite,Ca2Mg(V10O28)·16H2O,Ca<sub>2</sub>Mg(V<sub>10</sub>O<sub>28</sub>)·16H<sub>2</sub>O,Mpas,4.HC.05,Monoclinic,Prismatic,Bright orange,Perfect on {001},2.5,Yellow,,Adamantine,,
Magnesite,https://en.wikipedia.org/wiki/Magnesite,MgCO3,MgCO<sub>3</sub>,Mgs,5.AB.05,Trigonal,Hexagonal scalenohedral,"Colorless, white, pale yellow, pale brown, faintly pink, lilac-rose",[1011] perfect,3.5 – 4.5,white,3.0 – 3.2,Vitreous,"Usually massive, rarely as rhombohedrons or hexagonal prisms",
Magnetite,https://en.wikipedia.org/wiki/Magnetite,"iron(II,III) oxide, Fe2+Fe3+2O4","iron(II,III)oxide,Fe<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>O<sub>4</sub>",Mag,4.BB.05,Isometric,Hexoctahedral,"Black, gray with brownish tint in reflected sun","Indistinct, parting on {Ill}, very good",5.5–6.5,Black,5.17–5.18,Metallic,"Octahedral, fine granular to massive",Lodestone (Magnetic with definite north and south poles)
Majorite,https://en.wikipedia.org/wiki/Majorite,Mg3(MgSi)(SiO4)3,Mg<sub>3</sub>(MgSi)(SiO<sub>4</sub>)<sub>3</sub>,Maj,9.AD.25,Cubic,Hexoctahedral,"Purple, pale yellowish brown, colorless",None,7-7.5,,Measured at about 4; 3.51 (calculated for pure MgSiO3),Vitreous,Microcrystalline aggregates; acicular to equant grains in narrow veinlets,
Malachite,https://en.wikipedia.org/wiki/Malachite,Cu2CO3(OH)2,Cu<sub>2</sub>CO<sub>3</sub>(OH)<sub>2</sub>,Mlc,5.BA.10,Monoclinic,Prismatic,"Bright green, dark green, blackish green, with crystals deeper shades of green, even very dark to nearly black commonly banded in masses; green to yellowish green in transmitted light",Perfect on {201} fair on {010},3.5–4,light green,3.6–4,Adamantine to vitreous; silky if fibrous; dull to earthy if massive,"Massive, botryoidal, stalactitic, crystals are acicular to tabular prismatic",
Malayaite,https://en.wikipedia.org/wiki/Malayaite,CaSnO[SiO4],CaSnO[SiO<sub>4</sub>],Mly,9.AG.15,Monoclinic,Prismatic,"Colorless, greenish gray, white, light yellow, orange",,3.5 - 4,White,4.3 - 4.55,Vitreous or resinuous,Massive or wedge shaped,
Manganite,https://en.wikipedia.org/wiki/Manganite,MnO(OH),MnO(OH),Mnn,4.FD.15,Monoclinic,Prismatic,"Dark steel-gray to black, reddish brown in transmitted light, gray-white with brownish tint, with blood-red internal reflections in reflected light","{010} perfect, {110} and {001} good",4,Reddish brown to nearly black,4.29–4.34,Sub-metallic,"Slender prismatic crystals, massive to fibrous, pseudo-orthorhombic",
Manganophyllite,https://en.wikipedia.org/wiki/Manganophyllite,"K(Fe,Mg,Mn)3AlSi3O10(OH)2","K(Fe,Mg,Mn)<sub>3</sub>AlSi<sub>3</sub>O<sub>10</sub>(OH)<sub>2</sub>",,,Monoclinic,,"Brown, reddish brown, yellowish brown, orange, coppery red",{010},2.5 - 3,,,Bronzy,,
Manganosite,https://en.wikipedia.org/wiki/Manganosite,"Manganese oxide, MnO","Manganeseoxide,MnO",Mng,4.AB.25,Cubic,Hexoctahedral,"Emerald-green, becoming black on exposure to air","Perfect on [100], [010] and [001]",5 - 6,Brown,5364,"Vitreous, adamantine to dull",Granular to massive; Octahedral crystals uncommon,
Manganvesuvianite,https://en.wikipedia.org/wiki/Manganvesuvianite,"Ca19Mn3+(Al,Mn3+,Fe3+)10(Mg,Mn2+)2(Si2O7)4(SiO4)10O(OH)9",Ca<sub>9</sub>,Mnves,9.BG.35,Tetragonal,Dipyramidal,"Deep red-brown, red, nearly black",None observed,6 to 7,White,,Vitreous,,
Mansfieldite,https://en.wikipedia.org/wiki/Mansfieldite,AlAsO4 · 2H2O,AlAsO<sub>4</sub>·2H<sub>2</sub>O,Mfd,8.CD.10,Orthorhombic,Orthorhombic-Dipyramidal,"White, light gray",Indistict on {201} and on {001} and {100} in traces,3.5 - 4,White,3.03,Vitreous,"Spherical, encrustations",
